old_number,new_number
15303,15003
15101,15001
15113,15082
15118,15091
15154,15082
15227,15088
15202,15002
15228,15084
15242,15084
15153,15089
15265,15088
15260,15087
15261,15088
15266,15087
15159,15082
15124,15091
15126,15082
15147,15082
15215,15087
15362,15083
15134,15001
15268,15084
15237,15087
15343,15085
15332,15085
12037,12062
12039,12066
13011,13072
13012,13072
13013,13071
13014,13071
13015,13072
13016,13072
13018,13076
13020,13071
13021,13071
13022,13071
13023,13073
13024,13073
13025,13073
13026,13073
13027,13074
13028,13074
13029,13075
13030,13075
13031,13076
13033,13073
13034,13073
13036,13075
13037,13074
13038,13075
13039,13071
13040,13074
13041,13075