"Schluessel","Bezeichnung","Ausgabe"
"1.1","Ganzhirn (Neurokranium, inkl. Meningen)","2020"
"1.2","Teilhirn (frontal/parietal/occipital/temporal/Kleinhirn)","2020"
"1.3","Neuroachse/Rückenmark","2020"
"1.4","Hypophyse","2020"
"1.5","Hirn sonstiges","2020"
"2.1","Auge (r, l)","2020"
"2.2","Nase/Nasennebenhöhle","2020"
"2.3","Mundhöhle inkl. Mundhöhlenvorhof","2020"
"2.4","Ohr (r, l)","2020"
"2.5","Speicheldrüse (r, l)","2020"
"2.6","Pharynx","2020"
"2.7","Nasopharynx","2020"
"2.8","Oropharynx","2020"
"2.9","Hypopharynx","2020"
"2.10","Larynx","2020"
"2.11","Schilddrüse","2020"
"2.12","Kopf-Hals sonstige","2020"
"3.1","Mamma als Ganzbrust (r, l)","2020"
"3.2","Mamma als Teilbrust (r, l)","2020"
"3.3","Thoraxwand, ggf. r, l","2020"
"3.4","Lunge (r, l)","2020"
"3.5","Ösophagus","2020"
"3.6","Mediastinum (mediastinaler Lymphabfluss ist unter Pkt.9 zu kodieren)","2020"
"3.7","Thymus","2020"
"3.8","Thorax sonstige","2020"
"4.1","Magen","2020"
"4.2","Pankreas","2020"
"4.3","Leber, auch bei Teilbestrahlung","2020"
"4.4","Milz","2020"
"4.5","Niere (r, l)","2020"
"4.6","Nebenniere (r, l)","2020"
"4.7","Retroperitoneum (z. B. Sarkome)","2020"
"4.8","Ureter","2020"
"4.9","Bauchwand (z. B. Sarkome)","2020"
"4.10","Oberbauch","2020"
"4.11","Gallengänge","2020"
"4.12","Gallenblase","2020"
"4.13","Abdomen sonstige","2020"
"5.1","Rektum","2020"
"5.2","Analbereich","2020"
"5.3","Harnblase","2020"
"5.4","Prostata","2020"
"5.5","Hoden (r, l)","2020"
"5.6","Penis","2020"
"5.7","Uterus","2020"
"5.8","Zervix","2020"
"5.9","Vulva","2020"
"5.10","Vagina","2020"
"5.11","Beckenwand","2020"
"5.12","Becken sonstige","2020"
"6.1","Schädel","2020"
"6.2","Schädelbasis","2020"
"6.3","Orbita (r, l)","2020"
"6.4","Halswirbelsäule","2020"
"6.5","Brustwirbelsäule","2020"
"6.6","Lendenwirbelsäule","2020"
"6.7","Sacrum/Coccygeum","2020"
"6.8","Rippen (r, l)","2020"
"6.9","Sternum","2020"
"6.10","Schulter (r, l)","2020"
"6.11","Oberarm (r, l)","2020"
"6.12","Unterarm (r, l)","2020"
"6.13","Hand (r, l)","2020"
"6.14","Becken (r, l)","2020"
"6.15","Hüfte (r, l)","2020"
"6.16","Oberschenkel (r, l)","2020"
"6.17","Unterschenkel (r, l)","2020"
"6.18","Fuß (r, l)","2020"
"6.19","Knochen sonstige","2020"
"7.1","Kopf, Gesicht, Hals","2020"
"7.2","obere Extremität inkl. Schulter (r, l)","2020"
"7.3","untere Extremität und Hüfte (r, l)","2020"
"7.4","Thorax","2020"
"7.5","Abdomen","2020"
"7.6","Becken","2020"
"7.7","Stammes o. n. A.","2020"
"7.8","mehrere Bereiche überlappend","2020"
"7.9","sonstige Weichteile o. n. A.","2020"
"8.1","Ganzhaut","2020"
"8.2","Teilbereiche","2020"
"9.1","Cervikale Lymphknoten (r, l)","2020"
"9.2","Supra-/infraclavikuläre Lymphknoten (r, l)","2020"
"9.3","Axilläre Lymphknoten (r, l)","2020"
"9.4","Retrosternale/sternale/Mammaria interna Lymphknoten","2020"
"9.5","Mediastinale Lymphknoten","2020"
"9.6","Hiläre Lymphknoten","2020"
"9.7","Intraabdominale Lymphknoten (z. B. subphrenisch, perigastrisch, peripankreatisch, Leber-, Milzhilus)","2020"
"9.8","Paraaortale Lymphknoten","2020"
"9.9","Retroperitoneale Lymphknoten","2020"
"9.10","Beckenlymphabfluss (r, l) (Iliakal commun, extern, intern, obturatorisch, pr�sakral)","2020"
"9.11","Inguinale Lymphknoten (r, l)","2020"
"9.12","Involved Node","2020"
"9.13","Involved Site","2020"
"9.14","Involved Field","2020"
"9.15","Sonstige Lymphknoten","2020"
"10.1","Ganzkörperbestrahlung bei allogener Stammzelltransplantation","2020"
"10.2","operative Zugangswege","2020"
"10.3","Sonstige, nicht genannte Zielgebiete","2020"
"","",NA
"1.","ZNS","2014"
"1.1.","ZNS Ganzhirn","2014"
"1.2.","ZNS Teilhirn","2014"
"1.3.","ZNS Neuroachse","2014"
"2.","Kopf-Hals","2014"
"2.+","Kopf-Hals mit Lymphknotenregion","2014"
"2.-","Kopf-Hals ohne Lymphknotenregion","2014"
"2.1.","Kopf-Hals Orbita","2014"
"2.1.+","Kopf-Hals Orbita mit Lymphknotenregion","2014"
"2.1.-","Kopf-Hals Orbita ohne Lymphknotenregion","2014"
"2.2.","Kopf-Hals Nase/Nasennebenhöhle","2014"
"2.2.+","Kopf-Hals Nase/Nasennebenhöhle mit Lymphknotenregion","2014"
"2.2.-","Kopf-Hals Nase/Nasennebenhöhle ohne Lymphknotenregion","2014"
"2.3.","Mundhöhle","2014"
"2.3.+","Mundhöhle mit Lymphknotenregion","2014"
"2.3.-","Mundhöhle ohne Lymphknotenregion","2014"
"2.4.","Ohr","2014"
"2.4.+","Ohr mit Lymphknotenregion","2014"
"2.4.-","Ohr ohne Lymphknotenregion","2014"
"2.5.","Speicheldrüse","2014"
"2.5.+","Speicheldrüse mit Lymphknotenregion","2014"
"2.5.-","Speicheldrüse ohne Lymphknotenregion","2014"
"2.6.","Pharynx","2014"
"2.6.+","Pharynx mit Lymphknotenregion","2014"
"2.6.-","Pharynx ohne Lymphknotenregion","2014"
"2.7.","Larynx","2014"
"2.7.+","Larynx mit Lymphknotenregion","2014"
"2.7.-","Larynx ohne Lymphknotenregion","2014"
"2.8.","Schilddrüse","2014"
"2.8.+","Schilddrüse mit Lymphknotenregion","2014"
"2.8.-","Schilddrüse ohne Lymphknotenregion","2014"
"2.9.","Halslymphknoten (also ohne Primärtumor)","2014"
"3.","Thorax","2014"
"3.+","Thorax mit Lymphknotenregion","2014"
"3.-","Thorax ohne Lymphknotenregion","2014"
"3.1.","Mamma als Ganzbrust","2014"
"3.1.+","Mamma als Ganzbrust mit Lymphknotenregion","2014"
"3.1.-","Mamma als Ganzbrust ohne Lymphknotenregion","2014"
"3.2.","Mamma als Teilbrust","2014"
"3.2.+","Mamma als Teilbrust mit Lymphknotenregion","2014"
"3.2.-","Mamma als Teilbrust ohne Lymphknotenregion","2014"
"3.3.","Brustwand (z. B. Rezidiven n. Ablatio Sarkome)","2014"
"3.3.-","Brustwand (z. B. Rezidiven n. Ablatio Sarkome) mit Lymphknotenregion","2014"
"3.3.+","Brustwand (z. B. Rezidiven n. Ablatio Sarkome) ohne Lymphknotenregion","2014"
"3.4.","Lunge","2014"
"3.4.+","Lunge mit Lymphknotenregion","2014"
"3.4.-","Lunge ohne Lymphknotenregion","2014"
"3.5.","Ösophagus","2014"
"3.5.+","Ösophagus mit Lymphknotenregion","2014"
"3.5.-","Ösophagus ohne Lymphknotenregion","2014"
"3.6.","Thymus","2014"
"3.6.+","Thymus mit Lymphknotenregion","2014"
"3.6.-","Thymus ohne Lymphknotenregion","2014"
"3.7.","Mediastinale Lymphknoten (also ohne Primärtumor)","2014"
"4.","Abdomen (ohne Becken)","2014"
"4.+","Abdomen (ohne Becken) mit Lymphknotenregion","2014"
"4.-","Abdomen (ohne Becken) ohne Lymphknotenregion","2014"
"4.1.","Magen","2014"
"4.1.+","Magen mit Lymphknotenregion","2014"
"4.1.-","Magen ohne Lymphknotenregion","2014"
"4.2.","Pankreas","2014"
"4.2.+","Pankreas mit Lymphknotenregion","2014"
"4.2.-","Pankreas ohne Lymphknotenregion","2014"
"4.3.","Leber","2014"
"4.3.+","Leber mit Lymphknotenregion","2014"
"4.3.-","Leber ohne Lymphknotenregion","2014"
"4.4.","Milz","2014"
"4.4.+","Milz mit Lymphknotenregion","2014"
"4.4.-","Milz ohne Lymphknotenregion","2014"
"4.5.","Niere","2014"
"4.5.+","Niere mit Lymphknotenregion","2014"
"4.5.-","Niere ohne Lymphknotenregion","2014"
"4.6.","Nebenniere","2014"
"4.6.+","Nebenniere mit Lymphknotenregion","2014"
"4.6.-","Nebenniere ohne Lymphknotenregion","2014"
"4.7.","Retroperitoneale Lymphknoten (also ohne Prim�rtumor)","2014"
"4.8.","Retroperitoneum (z. B. Sarkome)","2014"
"4.8.+","Retroperitoneum (z. B. Sarkome) mit Lymphknotenregion","2014"
"4.8.-","Retroperitoneum (z. B. Sarkome) ohne Lymphknotenregion","2014"
"4.9.","Bauchwand","2014"
"4.9.+","Bauchwand mit Lymphknotenregion","2014"
"4.9.-","Bauchwand ohne Lymphknotenregion","2014"
"5.","Becken","2014"
"5.+","Becken mit Lymphknotenregion","2014"
"5.-","Becken ohne Lymphknotenregion","2014"
"5.1.","Rektum","2014"
"5.1.+","Rektum mit Lymphknotenregion","2014"
"5.1.-","Rektum ohne Lymphknotenregion","2014"
"5.2.","Analbereich","2014"
"5.2.+","Analbereich mit Lymphknotenregion","2014"
"5.2.-","Analbereich ohne Lymphknotenregion","2014"
"5.3.","Harnblase","2014"
"5.3.+","Harnblase mit Lymphknotenregion","2014"
"5.3.-","Harnblase ohne Lymphknotenregion","2014"
"5.4.","Prostata","2014"
"5.4.+","Prostata mit Lymphknotenregion","2014"
"5.4.-","Prostata ohne Lymphknotenregion","2014"
"5.5.","Hoden","2014"
"5.5.+","Hoden mit Lymphknotenregion","2014"
"5.5.-","Hoden ohne Lymphknotenregion","2014"
"5.6.","Penis","2014"
"5.6.+","Penis mit Lymphknotenregion","2014"
"5.6.-","Penis ohne Lymphknotenregion","2014"
"5.7.","Uterus und Zervix","2014"
"5.7.+","Uterus und Zervix mit Lymphknotenregion","2014"
"5.7.-","Uterus und Zervix ohne Lymphknotenregion","2014"
"5.7.1.","Uterus","2014"
"5.7.1.-","Uterus ohne Lymphknotenregion","2014"
"5.7.1.+","Uterus mit Lymphknotenregion","2014"
"5.7.2.","Zervix","2014"
"5.7.2.-","Zervix ohne Lymphknotenregion","2014"
"5.7.2.+","Zervix mit Lymphknotenregion","2014"
"5.8.","Ovar","2014"
"5.8.+","Ovar mit Lymphknotenregion","2014"
"5.8.-","Ovar ohne Lymphknotenregion","2014"
"5.9.","Vulva","2014"
"5.9.+","Vulva mit Lymphknotenregion","2014"
"5.9.-","Vulva ohne Lymphknotenregion","2014"
"5.10.","Vagina","2014"
"5.10.+","Vagina mit Lymphknotenregion","2014"
"5.10.-","Vagina ohne Lymphknotenregion","2014"
"5.11.","Beckenwand","2014"
"5.11.+","Beckenwand mit Lymphknotenregion","2014"
"5.11.-","Beckenwand ohne Lymphknotenregion","2014"
"5.12.","Beckenlymphknoten (ohne Primärtumor)","2014"
"5.12.+","Beckenlymphknoten (ohne Primärtumor) mit Lymphknotenregion","2014"
"5.12.-","Beckenlymphknoten (ohne Primärtumor) ohne Lymphknotenregion","2014"
"6.","Stütz-/Bewegungsapparat","2014"
"6.1.","Schädelknochen","2014"
"6.2.","Rippen","2014"
"6.3.","Sternum","2014"
"6.4.","HWS","2014"
"6.5.","BWS","2014"
"6.6.","LWS","2014"
"6.7.","Knöchernes Becken","2014"
"6.8.","Hüfte","2014"
"6.9.","Achsel","2014"
"6.10.","Oberarm","2014"
"6.11.","Unterarm","2014"
"6.12.","Hand","2014"
"6.13.","Leiste","2014"
"6.14.","Oberschenkel","2014"
"6.15.","Unterschenkel","2014"
"6.16.","Fuß","2014"
"7.","Haut","2014"
"7.+","Haut mit Lymphknoten","2014"
"7.-","Haut ohne Lymphknoten","2014"
"7.1.","Primärer Hauttumor (auch kutane Lymphome)","2014"
"7.2.","Hautmetastasen","2014"
"8.","Sonstiges","2014"
"8.1.","Ganzkörperbestrahlung","2014"
"8.2.","Mantelfeldbestrahlung","2014"